INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM,Rate
Comprehensive,Three wheeler,Private,Bajaj,RE,2008,750000,16748.91,2.233188
Comprehensive,Car,Private,Toyota,Premio,2017,17900000,239324.74,1.337009721
Comprehensive,Car,Private,Audi,A4,2011,11750000,158097.44,1.345510128
Comprehensive,Car,Private,Honda,Civic,2017,14400000,193098.09,1.340958958
Comprehensive,Car,Private,Toyota,Voxy,2014,19400000,259136.44,1.335754845
Comprehensive,Car,Private,Peugeot,508,2011,13500000,181211.26,1.34230563
Comprehensive,Car,Private,Bajaj,Pulsar 180,2016,180000,7729.42,4.294122222
Comprehensive,Car,Private,Suzuki,Swift,2003,4150000,57719.26,1.390825542
Comprehensive,Car,Private,BMW,520d,2012,20875000,278617.24,1.334693365
Comprehensive,Car,Private,Mini,Cooper,2015,18775000,250881.65,1.336253795
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2016,56500000,749140.52,1.325912425
Comprehensive,Car,Private,Mercedes Benz,C180,2016,21250000,283570.91,1.334451341
Comprehensive,Car,Private,Honda,Fit Shuttle,2014,9690000,130889.71,1.350771001
Comprehensive,Car,Private,Mercedes Benz,C200,2018,33590000,446553.37,1.329423549
Comprehensive,Car,Private,Nissan,Sunny,1994,1990000,29190.88,1.466878392
Comprehensive,Car,Private,Audi,Q2,2018,17650000,236022.62,1.33723864
Comprehensive,Car,Private,Renault,KWID,2016,3050000,43191.14,1.416102951
Comprehensive,Car,Private,Toyota,Aqua,2014,7690000,104474.77,1.358579584
Comprehensive,Car,Private,Toyota,Prius,2013,9750000,131682.5,1.350589744
Comprehensive,Car,Private,Mitsubishi,Lancer,2008,7690000,104474.77,1.358579584
Comprehensive,Car,Private,Nissan,Sunny,2005,4200000,58380.08,1.390001905
Comprehensive,Car,Private,Micro,Panda,2016,2750000,39229.2,1.426516364
Comprehensive,Car,Private,Toyota,Vitz,2017,8490000,115040.94,1.355016961
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000,105795.41,1.358092555
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6900000,94040.56,1.362906667
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6925000,94370.47,1.362750469
Comprehensive,Car,Private,Mercedes Benz,C200,2017,28500000,379326.33,1.330969579
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,32950000,438099.62,1.329589135
Comprehensive,Car,Private,Audi,Q3,2017,17950000,239985.56,1.336966908
Comprehensive,Car,Private,Datsun,Redi Go,2016,2650000,37908.55,1.430511321
Comprehensive,Car,Private,DFSK,Glory,2019,9350000,126399.91,1.351870695
Comprehensive,Car,Private,Toyota,Corolla,1997,3675000,51445.94,1.399889524
Comprehensive,Car,Private,Toyota,Hilux,2017,27995000,372656.11,1.331152384
Comprehensive,Car,Private,Hyundai,Venue,2019,10900000,146871.44,1.347444404
Comprehensive,Car,Private,Kia,Sportage,2011,10725000,144560.06,1.347879347
Comprehensive,Car,Private,Honda,Grace,2015,11375000,153144.76,1.34632756
Comprehensive,Car,Private,Audi,A4,2011,11750000,158097.44,1.345510128
Comprehensive,Car,Private,Honda,Fit,2014,8500000,115172.91,1.354975412
Comprehensive,Car,Private,Jaguar,XF,2014,18500000,247249.62,1.336484432
Comprehensive,Car,Private,Toyota,CHR,2018,16500000,220833.68,1.338385939
Comprehensive,Car,Private,Nissan,X-Trail,2016,13500000,181211.26,1.34230563
Comprehensive,Car,Private,BMW,318i,2017,21950000,292815.44,1.334011116
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14000000,187815.5,1.341539286
Comprehensive,Car,Private,Toyota,Avanza,2008,5950000,81493.91,1.369645546
Comprehensive,Car,Private,Toyota,Corona,1991,1875000,27672.29,1.475855467
Comprehensive,Car,Private,Honda,Vezel,2014,10850000,146210.62,1.347563318
Comprehensive,Car,Private,Nissan,X-Trail,2016,12200000,164040.85,1.344597131
Comprehensive,Car,Private,Mercedes Benz,E200,2013,25000000,333099.68,1.33239872
Comprehensive,Car,Private,Toyota,Passo,2020,8100000,109890.32,1.356670617
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2018,128000000,1693487.19,1.323036867
Comprehensive,Car,Private,Land Rover,Range Rover Velar,2019,64500000,854801.28,1.325273302
Comprehensive,Car,Private,MG,MG4 X,2024,19950000,266400.5,1.335340852
Comprehensive,Car,Private,BMW,X5,2016,37500000,498194.57,1.328518853
Comprehensive,Car,Private,Nissan,AD Wagon,1991,1790000,26549.59,1.483217318
Comprehensive,Car,Private,Toyota,Corolla,1992,2090000,30511.53,1.459881818
Comprehensive,Car,Private,Nissan,Wingroad,2005,4275000,59370.82,1.388791111
Comprehensive,Car,Private,Toyota,Prius,2014,10925000,147201.35,1.347380778
Comprehensive,Car,Private,Toyota,Toyota,2013,7650000,103946.91,1.358783137
Comprehensive,Car,Private,Honda,Vezel,2016,12250000,164701.67,1.344503429
Comprehensive,Car,Private,Toyota,Corolla,2006,6385000,87238.37,1.366301801
Comprehensive,Car,Private,Audi,Q2,2017,17750000,237343.27,1.337145183
Comprehensive,Car,Private,Toyota,Harrier,2017,31150000,414325.98,1.330099454
Comprehensive,Car,Private,Honda,Civic,2017,16000000,214230.44,1.33894025
Comprehensive,Car,Private,Nissan,X-Trail,2016,12375000,166352.23,1.344260444
Comprehensive,Car,Private,Suzuki,Alto,2011,2690000,38436.41,1.428862825
Comprehensive,Car,Private,Tata,Nano,2017,2250000,32624.96,1.449998222
Comprehensive,Car,Private,Suzuki,Maruti,2012,1995000,29256.86,1.466509273
Comprehensive,Car,Private,Land Rover,Discovery,2010,32500000,432156.21,1.329711415
Comprehensive,Car,Private,Honda,Vezel,2014,9890000,133532,1.350171891
Comprehensive,Car,Private,Nissan,X-Trail,2004,5875000,80503.17,1.370266723
Comprehensive,Car,Private,Nissan,Sunny,1994,1990000,29190.88,1.466878392
Comprehensive,Car,Private,Mercedes Benz,E200,2010,14000000,187815.5,1.341539286
Comprehensive,Car,Private,Ssang Yong,Kyron,2008,5525000,75880.41,1.373401086
Comprehensive,Car,Private,Audi,Q2,2017,16500000,220833.68,1.338385939
Comprehensive,Car,Private,Mitsubishi,Montero,2008,9750000,131682.5,1.350589744
Comprehensive,Car,Private,BMW,X5,2016,34800000,462534.1,1.329120977
Comprehensive,Car,Private,Land Rover,Defender,2013,45000000,597252.1,1.327226889
Comprehensive,Car,Private,BMW,X3,2013,19800000,264419.03,1.335449646
Comprehensive,Car,Private,Land Rover,Discovery,2010,24750000,329797.56,1.332515394
Comprehensive,Car,Private,Peugeot,5008,2019,23750000,316590.09,1.333010905
Comprehensive,Car,Private,Toyota,Hilux,2015,21000000,280268.8,1.334613333
Comprehensive,Car,Private,Toyota,Aqua,2012,7180000,97738.57,1.361261421
Comprehensive,Car,Private,BMW,520d,2013,27000000,359514.62,1.33153563
Comprehensive,Car,Private,Toyota,Corolla,2009,7450000,101304.61,1.359793423
Comprehensive,Car,Private,Toyota,Axio,2018,15525000,207957.12,1.339498357
Comprehensive,Car,Private,Perodua,Viva Elite,2010,4285000,59502.78,1.388629638
Comprehensive,Car,Private,Toyota,Vitz,2008,5690000,78059.83,1.371877504
Comprehensive,Car,Private,BMW,520d,2015,34950000,464515.57,1.329086037
Comprehensive,Car,Private,Toyota,CHR,2018,15290000,204852.95,1.339783846
Comprehensive,Car,Private,Audi,A6,2014,17950000,239985.56,1.336966908
Comprehensive,Car,Private,Nissan,March,2007,4200000,58380.08,1.390001905
Comprehensive,Car,Private,Suzuki,Alto,2012,3100000,43851.97,1.414579677
Comprehensive,Car,Private,BMW,iX xDrive40,2023,77500000,1026501.41,1.324517948
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2013,38500000,511403.04,1.328319584
Comprehensive,Car,Private,BYD,Seal,2024,35500000,471779.63,1.328956704
Comprehensive,Car,Private,Porsche,Taycan,2023,125000000,1653864.78,1.323091824
Comprehensive,Car,Private,Mercedes Benz,E200,2010,15500000,207626.21,1.339523935
Comprehensive,Car,Private,Suzuki,Maruti,2005,1650000,24700.08,1.496974545
Comprehensive,Car,Private,Honda,Fit,2013,8290000,112399.65,1.3558462
Comprehensive,Car,Private,Suzuki,Alto,2015,3395000,47747.92,1.406418851
Comprehensive,Car,Private,Kia,Cerato,2009,5900000,80833.08,1.370052203
Comprehensive,Car,Private,BMW,316i,2014,17800000,238004.09,1.337101629
Comprehensive,Car,Private,Mercedes Benz,E200,2011,24000000,319891.21,1.332880042
Comprehensive,Car,Private,Suzuki,Maruti,2004,1585000,23842.31,1.504246688
Comprehensive,Car,Private,Toyota,Camry,2011,10800000,145550.79,1.3476925
Comprehensive,Car,Private,Toyota,Premio,2013,12590000,169192.48,1.343864019
Comprehensive,Car,Private,Hyundai,Grand i10,2024,9439999,127588.58,1.351574084
Comprehensive,Car,Private,Audi,A5,2019,33750000,448665.8,1.329380148
Comprehensive,Car,Private,Toyota,Sprinter,1996,2700000,2700000,100
Comprehensive,Car,Private,Toyota,Prius,2013,9950000,134323.79,1.349987839
Comprehensive,Car,Private,BMW,430i,2017,45000000,597252.1,1.327226889
Comprehensive,Car,Private,Nissan,March,1990,725000,12483.35,1.721841379
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,1998,18500000,247249.62,1.336484432
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,27450000,365458.03,1.331358944
Comprehensive,Car,Private,Peugeot,508,2018,17000000,227437.91,1.337870059
Comprehensive,Car,Private,Nissan,X-Trail,2016,12085000,162522.26,1.344826314
Comprehensive,Car,Private,Ssang Yong,Rexton,2009,7500000,101965.44,1.3595392
Comprehensive,Car,Private,Land Rover,Range Rover Sport,2017,52500000,696309.63,1.326304057
Comprehensive,Car,Private,Suzuki,Alto,2004,3325000,46823.17,1.408215639
Comprehensive,Car,Private,Land Rover,Freelander,2011,12300000,165362.5,1.344410569
Comprehensive,Car,Private,Jaguar,X-Type,2008,7300000,99324.14,1.360604658
Comprehensive,Car,Private,Honda,Fit,2015,9475000,128050.47,1.351456148
Comprehensive,Car,Private,Audi,Q2,2018,16975000,227108,1.337896907
Comprehensive,Car,Private,Nissan,Juke,2020,15500000,207626.21,1.339523935
Comprehensive,Car,Private,Toyota,Corolla,2008,6890000,93908.59,1.362969376
Comprehensive,Car,Private,Toyota,Starlet,1997,3190000,45040.65,1.411932602
Comprehensive,Car,Private,Honda,Fit,2015,8350000,113191.44,1.355586108
Comprehensive,Car,Private,Toyota,Belta,2010,6950000,94701.38,1.362609784
Comprehensive,Car,Private,Honda,Accord,2020,26990000,359382.66,1.331540052
Comprehensive,Car,Private,BMW,X1,2020,33900000,450647.27,1.329342979
Comprehensive,Car,Private,Peugeot,3008,2018,21250000,283570.91,1.334451341
Comprehensive,Car,Private,Porsche,718 Cayman,2018,68000000,901027.93,1.325041074
Comprehensive,Car,Private,Suzuki,Baleno,2016,8700000,117814.2,1.354186207
Comprehensive,Car,Private,Mitsubishi,Lancer,2004,5980000,81889.8,1.369394649
Comprehensive,Car,Private,Honda,Vezel,2019,18700000,249890.91,1.336315027
Comprehensive,Car,Private,Toyota,Voxy,2015,19500000,260457.09,1.335677385
Comprehensive,Car,Private,Suzuki,Suzuki,2003,4895000,67559.63,1.380176302
Comprehensive,Car,Private,Peugeot,3008,2018,21000000,280268.8,1.334613333
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2018,7275000,98993.23,1.360731684
Comprehensive,Car,Private,BMW,520d,2014,31500000,418948.74,1.329996
Comprehensive,Car,Private,MG,ZS,2019,11000000,148192.09,1.347200818
Comprehensive,Car,Private,Suzuki,Swift,2003,4090000,56927.47,1.391869682
Comprehensive,Car,Private,Toyota,Premio,2003,8500000,115172.91,1.354975412
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2011,67500000,894424.7,1.32507363
Comprehensive,Car,Private,Audi,A8,2014,39800000,528572.45,1.328071482
Comprehensive,Car,Private,Toyota,Corolla,1987,1690000,25228.94,1.492836686
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2015,5775000,79182.53,1.371126061
Comprehensive,Car,Private,Mitsubishi,Montero,2007,20800000,277627.5,1.334747596
Comprehensive,Car,Private,Mitsubishi,Montero,2004,13500000,181211.26,1.34230563
Comprehensive,Car,Private,Suzuki,Wagon R,2016,5475000,75219.58,1.373873607
Comprehensive,Car,Private,Suzuki,Spacia,2014,6100000,83474.38,1.368432459
Comprehensive,Car,Private,Hyundai,Atos,2001,2095000,30577.51,1.459547017
Comprehensive,Car,Private,Toyota,CHR,2018,16700000,223475.97,1.338179461
Comprehensive,Car,Private,Toyota,Corsa,1996,3295000,46427.28,1.409022155
Comprehensive,Car,Private,Audi,A3,2017,13500000,181211.26,1.34230563
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2014,5825000,79842.35,1.37068412
Comprehensive,Car,Private,Toyota,Allion,2013,12975000,174277.12,1.343176262
Comprehensive,Car,Private,Hyundai,Tucson,2011,8650000,117154.38,1.354385896
Comprehensive,Car,Private,BMW,X1,2017,22500000,300080.5,1.333691111
Comprehensive,Car,Private,Toyota,Harrier,2017,36900000,490270.69,1.328646856
Comprehensive,Car,Private,Suzuki,Wagon R,2015,5375000,73898.94,1.374864
Comprehensive,Car,Private,Daihatsu,Charade,1999,2795000,39823.04,1.424795707
Comprehensive,Car,Private,Audi,Q2,2018,17500000,234042.15,1.337383714
Comprehensive,Car,Private,Toyota,Hilux,1996,3250000,45832.44,1.410228923
Comprehensive,Car,Private,Toyota,Yaris,2007,6200000,84795.03,1.367661774
Comprehensive,Car,Private,Honda,Odyssey,2001,5950000,81493.91,1.369645546
Comprehensive,Car,Private,Mitsubishi,Montero,2012,16800000,224796.62,1.338075119
Comprehensive,Car,Private,Audi,A3,2017,14500000,194418.73,1.340818828
Comprehensive,Car,Private,Honda,Grace,2016,11200000,150833.38,1.346726607
Comprehensive,Car,Private,Toyota,Prius,2014,10590000,142776.53,1.348220302
Comprehensive,Car,Private,Mitsubishi,Montero,2018,16500000,220833.68,1.338385939
Comprehensive,Car,Private,Land Rover,Range Rover,2020,124500000,1647260.54,1.323100835
Comprehensive,Car,Private,Toyota,Corolla,2002,5300000,72908.2,1.375626415
Comprehensive,Car,Private,Toyota,Hilux,2018,20500000,273664.56,1.334949073
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2007,34000000,451967.92,1.329317412
Comprehensive,Car,Private,Suzuki,Swift,2002,3695000,51709.87,1.39945521
Comprehensive,Car,Private,Toyota,CE90,1991,1765000,26219.68,1.485534278
Comprehensive,Car,Private,Audi,Q2,2017,17650000,236022.62,1.33723864
Comprehensive,Car,Private,DFSK,Glory,2022,13400000,179890.62,1.342467313
Comprehensive,Car,Private,Kia,Sorento,2010,12950000,173947.2,1.343221622
Comprehensive,Car,Private,Toyota,Prius,2013,11000000,148192.09,1.347200818
Comprehensive,Car,Private,Honda,CRV,2018,22700000,302721.8,1.333576211
Comprehensive,Car,Private,Mercedes Benz,C180,2003,5800000,79512.44,1.370904138
Comprehensive,Car,Private,Nissan,Wingroad,2000,2650000,37908.55,1.430511321
Comprehensive,Car,Private,Suzuki,Alto,2015,5300000,72908.2,1.375626415
Comprehensive,Car,Private,Suzuki,Swift,2009,5590000,76738.18,1.372776029
Comprehensive,Car,Private,Nissan,Sunny,1980,550000,10171.96,1.849447273
Comprehensive,Car,Private,Suzuki,Swift,2002,3990000,55606.82,1.393654637
Comprehensive,Car,Private,Mercedes Benz,E200,2010,14000000,187815.5,1.341539286
Comprehensive,Car,Private,Ssang Yong,Kyron,2008,5525000,75880.41,1.373401086
Comprehensive,Car,Private,Mitsubishi,Montero,2008,9750000,131682.5,1.350589744
Comprehensive,Car,Private,Land Rover,Defender,2013,45000000,597252.1,1.327226889
Comprehensive,Car,Private,Toyota,Hilux,2015,21000000,280268.8,1.334613333
Comprehensive,Car,Private,Toyota,Corolla,2009,7450000,101304.61,1.359793423
Comprehensive,Car,Private,Toyota,Axio,2018,15525000,207957.12,1.339498357
Comprehensive,Car,Private,Suzuki,Alto,2015,3850000,53757.32,1.396294026
Comprehensive,Car,Private,Honda,CRV,2005,7200000,98002.5,1.361145833
Comprehensive,Car,Private,Honda,Civic,2018,14650000,196400.21,1.340615768
Comprehensive,Car,Private,BMW,740Le,2017,52500000,696309.63,1.326304057
Comprehensive,Car,Private,Peugeot,3008,2018,21450000,286212.21,1.334322657
Comprehensive,Car,Private,Mercedes Benz,E300,2015,22950000,306023.91,1.333437516
Comprehensive,Car,Private,Perodua,Axia,2019,7300000,99324.14,1.360604658
Comprehensive,Car,Private,Tata,Nano,2017,2300000,33285.79,1.447208261
Comprehensive,Car,Private,Toyota,Vitz,2016,7400000,100644.79,1.36006473
Comprehensive,Car,Private,Hyundai,Venue,2019,10500000,141587.85,1.348455714
Comprehensive,Car,Private,Toyota,Corolla,1986,750000,12813.26,1.708434667
Comprehensive,Car,Private,Toyota,Aqua,2012,6950000,94701.38,1.362609784
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2014,93500000,1237823.94,1.323875872
Comprehensive,Car,Private,Suzuki,Alto,2013,2985000,42332.37,1.418169849
Comprehensive,Car,Private,Suzuki,Swift,2017,9450000,127720.56,1.351540317
Comprehensive,Car,Private,Micro,Kyron,2009,5675000,77860.88,1.371997885
Comprehensive,Car,Private,Audi,A1,2018,9975000,134654.7,1.349921805
Comprehensive,Car,Private,Toyota,Prius,2012,9750000,131682.5,1.350589744
Comprehensive,Car,Private,Honda,CRV,2018,28500000,379326.33,1.330969579
Comprehensive,Car,Private,Honda,Civic,2018,15000000,201022.97,1.340153133
Comprehensive,Car,Private,Nissan,X-Trail,2010,8550000,115833.73,1.354780468
Comprehensive,Car,Private,Toyota,Corolla,2008,6795000,92653.93,1.363560412
Comprehensive,Car,Private,Suzuki,Alto,2016,2990000,42398.35,1.418005017
Comprehensive,Car,Private,Audi,Q3,2018,21875000,291825.71,1.334060389
Comprehensive,Car,Private,Mazda,Familia,2000,2850000,40549.85,1.422801754
Comprehensive,Car,Private,Toyota,Axio,2016,11650000,156776.79,1.345723519
Comprehensive,Car,Private,BMW,520d,2012,21800000,290834.97,1.334105367
Comprehensive,Car,Private,Toyota,CHR,2019,17650000,236022.62,1.33723864
Comprehensive,Car,Private,Land Rover,Defender,2014,46800000,621025.75,1.326978098
Comprehensive,Car,Private,Toyota,Allion,2010,10950000,147531.26,1.347317443
Comprehensive,Car,Private,Toyota,Vitz,2019,11250000,151494.2,1.346615111
Comprehensive,Car,Private,BMW,523i,2007,11275000,151824.12,1.346555388
Comprehensive,Car,Private,Mercedes Benz,C220,2013,15950000,213569.62,1.338994483
Comprehensive,Car,Private,BMW,X5,2016,31250000,415646.62,1.330069184
Comprehensive,Car,Private,Perodua,Axia,2016,5775000,79182.53,1.371126061
Comprehensive,Car,Private,Suzuki,Alto,2011,2785000,39691.08,1.425173429
Comprehensive,Car,Private,Toyota,Yaris,2008,6100000,83474.38,1.368432459
Comprehensive,Car,Private,Suzuki,Maruti,2007,1985000,29124.9,1.46724937
Comprehensive,Car,Private,Suzuki,Swift,2002,3700000,51775.85,1.399347297
Comprehensive,Car,Private,Nissan,Dayz,2016,5625000,77201.05,1.372463111
Comprehensive,Car,Private,Honda,Civic,2017,13700000,183852.56,1.341989489
Comprehensive,Car,Private,Honda,Civic,2011,8150000,110550.14,1.356443436
Comprehensive,Car,Private,Maruti,Suzuki,2011,2175000,31634.23,1.454447356
Comprehensive,Car,Private,Honda,Vezel,2016,13800000,185173.2,1.341834783
Comprehensive,Car,Private,Toyota,Corolla,1996,2790000,39757.06,1.424984229
Comprehensive,Car,Private,Mercedes Benz,E200,2013,23500000,313287.97,1.333140298
Comprehensive,Car,Private,Audi,Q2,2017,16290000,218060.42,1.338615224
Comprehensive,Car,Private,Honda,Vezel,2016,14200000,190456.79,1.341245
Comprehensive,Car,Private,Toyota,Raize,2019,14250000,191116.62,1.341169263
Comprehensive,Car,Private,Mitsubishi,Outlander,2015,14800000,198380.68,1.34041
Comprehensive,Car,Private,Toyota,Axio,2008,7325000,99654.06,1.360464983
Comprehensive,Car,Private,Toyota,Prius,2013,10700000,144230.14,1.347945234
Comprehensive,Car,Private,Suzuki,Hustler,2016,6375000,87106.41,1.366375059
Comprehensive,Car,Private,Toyota,CHR,2018,16500000,220833.68,1.338385939
Comprehensive,Car,Private,Toyota,Premio,2014,13750000,184513.38,1.341915491
Comprehensive,Car,Private,Renault,KWID,2016,3375000,47483.99,1.406933037
Comprehensive,Car,Private,Toyota,Allion,2010,10250000,138286.73,1.349138829
Comprehensive,Car,Private,MG,ZS,2019,10800000,145550.79,1.3476925
Comprehensive,Car,Private,Mercedes Benz,E300,2015,22200000,296117.56,1.333862883
Comprehensive,Car,Private,Nissan,Sunny,2004,4750000,65644.14,1.381981895
Comprehensive,Car,Private,Toyota,Prius,2013,10890000,146739.47,1.347469881
Comprehensive,Car,Private,Toyota,Fortuner,2013,19900000,265740.68,1.335380302
Comprehensive,Car,Private,Toyota,Vitz,2018,9300000,125739.09,1.352033226
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2008,20500000,273664.56,1.334949073
Comprehensive,Car,Private,Suzuki,Wagon R,2018,6890000,93908.59,1.362969376
Comprehensive,Car,Private,Suzuki,Alto,2015,3275000,46163.35,1.409567939
Comprehensive,Car,Private,Toyota,Premio,2014,14250000,191116.62,1.341169263
Comprehensive,Car,Private,Toyota,Hilux,2011,12650000,169984.26,1.343749091
Comprehensive,Car,Private,Toyota,Vitz,2018,9650000,130361.85,1.3509
Comprehensive,Car,Private,Toyota,Allion,2013,12850000,172626.56,1.343397354
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000,105795.41,1.358092555
Comprehensive,Car,Private,Toyota,Passo,2011,5350000,73569.02,1.375121869
Comprehensive,Car,Private,Toyota,Premio,2015,14900000,199702.32,1.340284027
Comprehensive,Car,Private,Honda,Fit Shuttle,2016,12200000,164040.85,1.344597131
Comprehensive,Car,Private,Toyota,Corolla,1989,775000,13144.17,1.696021935
Comprehensive,Car,Private,Maruti Suzuki,Alto,2007,2418000,34843.97,1.4410244
Comprehensive,Car,Private,BMW,520d,2013,25100000,334420.33,1.332351912
Comprehensive,Car,Private,Proton,Wira,2000,2075000,30313.58,1.460895422
Comprehensive,Car,Private,Nissan,Sunny,2001,3875000,54087.23,1.395799484
Comprehensive,Car,Private,Toyota,Vitz,2007,5500000,75549.5,1.373627273
Comprehensive,Car,Private,Suzuki,Alto,2016,5250000,72248.38,1.376159619
Comprehensive,Car,Private,Toyota,Corolla,1996,2850000,40549.85,1.422801754
Comprehensive,Car,Private,Mitsubishi,eK Wagon,2018,6390000,87304.35,1.366265258
Comprehensive,Car,Private,Nissan,Sunny,2001,3890000,54285.18,1.395505913
Comprehensive,Car,Private,Toyota,Corolla,1995,2800000,39889.02,1.424607857
Comprehensive,Car,Private,Mercedes Benz,C180,2011,13500000,181211.26,1.34230563
Comprehensive,Car,Private,Land Rover,Range Rover Sport,2019,67500000,894424.7,1.32507363
Comprehensive,Car,Private,Mercedes Benz,E300,2016,25500000,339702.92,1.332168314
Comprehensive,Car,Private,BMW,530e,2018,38500000,511403.04,1.328319584
Comprehensive,Car,Private,Nissan,Sunny,2000,3575000,50125.29,1.402106014
Comprehensive,Car,Private,Honda,Civic,2011,7150000,97342.67,1.361435944
Comprehensive,Car,Private,Suzuki,Alto,2014,3250000,45832.44,1.410228923
Comprehensive,Car,Private,Mazda,Demio,1997,2575000,36917.82,1.433701748
Comprehensive,Car,Private,Suzuki,Alto,2015,3150000,44511.79,1.413072698
Comprehensive,Car,Private,Tata,Indica,2006,1775000,26351.64,1.484599437
Comprehensive,Car,Private,Toyota,Premio,2016,15750000,210928.32,1.339227429
Comprehensive,Car,Private,Land Rover,Discovery,2019,54500000,722724.57,1.326100128
Comprehensive,Car,Private,Toyota,Premio,2019,19675000,262768.47,1.335544956
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2011,69500000,920839.64,1.324949122
Comprehensive,Car,Private,Suzuki,Swift,2004,4295000,59634.75,1.38846915
Comprehensive,Car,Private,Toyota,Corsa,1999,2875000,40879.76,1.421904696
Comprehensive,Car,Private,Toyota,Axio,2015,11500000,154796.32,1.346054957
Comprehensive,Car,Private,Suzuki,Maruti,2011,1950000,28663.02,1.469898462
Comprehensive,Car,Private,Mercedes Benz,C200,2002,6000000,82153.73,1.369228833
Comprehensive,Car,Private,Audi,A6,2017,24200000,322533.5,1.332783058
Comprehensive,Car,Private,Toyota,Axio,2014,9850000,133003.14,1.350285685
